,C,H,I,I^2,I^3,I^4,d^2I/dH^2,dI/dH,rmse
eqn_0.1_0_0.txt,-0.023287193816548424,-0.038364873799284216,-38.82472419697353,6.283412557684331,7.42827735657914,0.0,0.0,1.0,0.012036640250756571
eqn_0.1_1_0.txt,-0.023287193816557306,-0.038364873799279116,-38.82472419697344,6.283412557684485,7.428277356579307,0.0,0.0,1.0,0.005637181133238325
eqn_0.1_2_0.txt,-0.025042502335704812,-0.03716104540474938,-39.64322417738671,0.0,0.0,0.0,0.0,1.0,0.005162212270131545
eqn_0.1_3_0.txt,-0.025042502335701045,-0.037161045404758127,-39.64322417738677,0.0,0.0,0.0,0.0,1.0,0.005168974927917701
eqn_0.1_4_0.txt,-0.025042502335701045,-0.037161045404758127,-39.64322417738677,0.0,0.0,0.0,0.0,1.0,0.005178110543883652
eqn_0.1_5_0.txt,-0.025042502335701045,-0.037161045404758127,-39.64322417738677,0.0,0.0,0.0,0.0,1.0,0.0051689239580139925
eqn_0.2_0_0.txt,0.04110472000206755,-0.08104508342232286,0.0,2037.755822057306,3567.0525436818634,1552.7789451290248,0.0,1.0,0.008972881720271289
eqn_0.2_1_0.txt,0.04110472000274967,-0.08104508342256267,0.0,2037.7558220573403,3567.052543682108,1552.7789451292572,0.0,1.0,0.006328025416596168
eqn_0.2_2_0.txt,0.041104720002294926,-0.08104508342622098,0.0,2037.7558220573198,3567.0525436819503,1552.7789451291076,0.0,1.0,0.006903992622149035
eqn_0.2_3_0.txt,0.04110472000138543,-0.08104508342177041,0.0,2037.7558220573071,3567.0525436820512,1552.77894512924,0.0,1.0,0.007410258146941208
eqn_0.2_4_0.txt,-0.2638239926536414,0.0,-298.977228224041,0.0,0.0,-266.9032234035873,0.0,1.0,0.007094952376803597
eqn_0.3_0_0.txt,-0.041582814069784035,0.0,-56.54977587351888,0.0,-803.0107684856594,-877.0367802716456,-0.00011554277408193878,1.0,0.007186226624675025
eqn_0.3_1_0.txt,-0.04158281407001797,0.0,-56.549775874580185,0.0,-803.0107684826083,-877.0367802627089,-0.0001155427740968662,1.0,0.007392428288349269
eqn_0.3_2_0.txt,-0.04158281406970198,0.0,-56.5497758735045,0.0,-803.0107684855816,-877.0367802711783,-0.00011554277407554991,1.0,0.007294555399876824
eqn_0.3_3_0.txt,-0.04158281407004394,0.0,-56.54977587362988,0.0,-803.0107684845849,-877.0367802752152,-0.0001155427740968662,1.0,0.0068443446424085105
eqn_0.3_4_0.txt,-0.04158281406997542,0.0,-56.5497758735219,0.0,-803.0107684856464,-877.0367802716346,-0.00011554277408212972,1.0,0.006884394303451112
eqn_0.3_5_0.txt,-0.0328068091212117,0.0,-48.65429457388319,77.2279236729382,-647.7883052908676,-792.3713275606708,0.0,1.0,0.007137232618729752
eqn_0.4_0_0.txt,-0.16624671227040821,0.0,-104.59007288302743,0.0,-450.1967513561556,-549.3843386455284,-8.80473840538798e-05,1.0,0.009034330585104042
eqn_0.4_1_0.txt,-0.1662467122706268,0.0,-104.59007288377029,0.0,-450.1967513481842,-549.384338637838,-8.804738388334954e-05,1.0,0.009047283408075913
eqn_0.4_2_0.txt,-0.1662467122705094,0.0,-104.59007288377173,0.0,-450.19675135310047,-549.384338642357,-8.80473839512709e-05,1.0,0.018997550505367215
eqn_0.4_3_0.txt,-0.16624671227049048,0.0,-104.59007288228109,0.0,-450.1967513530891,-549.3843386405251,-8.804738399703638e-05,1.0,0.009042230736620187
eqn_0.4_4_0.txt,-0.1662467122702651,0.0,-104.59007288377134,0.0,-450.1967513530997,-549.3843386423541,-8.804738395127073e-05,1.0,0.010426698783658263
eqn_0.4_5_0.txt,-0.264602740467339,0.0,-154.71117743164905,0.0,0.0,-121.97683430887159,0.0,1.0,0.009241963555622575
eqn_0.5_0_0.txt,-0.030534256082369204,0.0,-22.772985228110134,116.50049083325796,0.0,-118.13867211995318,-5.553962333237905e-05,1.0,0.011191013640052904
eqn_0.5_1_0.txt,-0.030534256082381243,0.0,-22.772985228084725,116.50049083292089,0.0,-118.13867211928563,-5.553962336080076e-05,1.0,0.012201472416270424
